"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","004","AFG","Afghanistan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","1037"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","008","ALB","Albania","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","3559.042934"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","36700"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","016","ASM","American Samoa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","317"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","020","AND","Andorra","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","147.580359"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","024","AGO","Angola","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","33581.49"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","028","ATG","Antigua and Barbuda","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","19.144"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","031","AZE","Azerbaijan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","22206.7"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","77935"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","036","AUS","Australia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","344829.29705"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","040","AUT","Austria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","202806.14937"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","044","BHS","Bahamas","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","564.6"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","048","BHR","Bahrain, Kingdom of","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","22369.414894"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","050","BGD","Bangladesh","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","44223.41"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","051","ARM","Armenia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","3022.5"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","052","BRB","Barbados","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","350.169"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","056","BEL","Belgium","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","545283.5269"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","060","BMU","Bermuda","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","12"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","064","BTN","Bhutan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","784.305"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","068","BOL","Bolivia, Plurinational State of","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","11030.013117"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","070","BIH","Bosnia and Herzegovina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","8613.66612"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","072","BWA","Botswana","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","7205.647"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","076","BRA","Brazil","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","280814.57746"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","084","BLZ","Belize","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","423.953"
